source_song,matched_song,similarity
Erdbeermund (In Extremo),Half-Truism (The Offspring),0.9619343640768421
What Happened To Us? (Hoobastank),Devil On My Shoulder (Billy Talent),0.9618092480632677
Die Trommel (Subway to Sally),Give Me The Night (DragonForce),0.9618044839966396
Whos Going Home With You Tonight? (Trapt),New Disease (Spineshank),0.9616050500350745
The Life Of Riley (The Lightning Seeds),Shes Just Killing Me (ZZ Top),0.9615914460938298
Get Outta My Way (Kylie Minogue),Nicotine (Panic! at the Disco),0.9615797431935802
Meantime (The Futureheads),Give It Up! Give It Up! (His Statue Falls),0.9609809533483122
Private Eye (Alkaline Trio),Red Sam (Flyleaf),0.9609340716390584
My Sacrifice (Creed),Composing (Boys Night Out),0.9608505577969961
Dreaming 24/7 (Scar Symmetry),Heart Heart Heartbreak (Boys Like Girls),0.9607789992942553
Terra Nova (Edenbridge),Electron (Serj Tankian),0.9607530247387753
Hospice Residence (The Red Chord),Nineteen Fifty Eight (A Day to Remember),0.9606672733038195
White Willow (Elvenking),Escalation (Kreator),0.9604443144341851
City of Angels (The Distillers),Straight Jacket Fashion (Chevelle),0.9603657068205742
You Bring Me Down (The Like),Vice/Versa (Fair to Midland),0.960012673733403
Theres a Bat (Heavy Heavy Low Low),Mercenary Man (Firewind),0.959988847297728
Bargain Basement Howard Hughes (Jerry Cantrell),This Could Be My Moment (The Verve),0.959907757039853
Hannah Hold On (The Get Up Kids),Leave Right Now (Will Young),0.9596544762683126
No More Secrets (Papa Roach),Sound Off (Trapt),0.9595236861464641
The Channel (Limp Bizkit),If I Fall (Five Finger Death Punch),0.9592649007858566
Captured State (Amorphis),Discord (After Forever),0.9592229159642075
Bonnie & Clyde (Die Toten Hosen),Away We Go (Valencia),0.9591731648270051
Two Receivers (Klaxons),Ill Be Gone (Linkin Park),0.9590804585316651
Saturday Morning (Eels),F**k You (Sleeping with Sirens),0.959029807340808
Pagan (Cruachan),Eve Of Seduction (Symphony X),0.9589619736225414
Red Sam (Flyleaf),She Is Beautiful (Andrew W.K.),0.9588167211211392
The Luxury Of A Grave (Sentenced),Beach (Mew),0.9587468725191461
Hit The Heartbrakes (Black Kids),Dirty Words (The Qemists),0.9587175010507465
Awakenings (Symphony X),Reign (UNKLE),0.958615183080316
Will You (P.O.D.),Two Receivers (Klaxons),0.9585293599124919
Jackie Big Tits (The Kooks),Spinning (Jack's Mannequin),0.9585024398421746
Convex Concave (Biffy Clyro),Just A Little Bit (Kids of 88),0.9584934412502953
WTFWJD (I Set My Friends on Fire),Ocean Avenue (Yellowcard),0.9583324550298643
Nine Lives (Edguy),Your Love Is Evil (Avantasia),0.9582009651675433
I Like You So Much Better When Youre Naked (Ida Maria),Ocean Avenue (Yellowcard),0.958117335715482
Broken Hearted (Eighteen Visions),What You Deserve (Ill Niño),0.9579059053325296
Cosmonaut (At the Drive-In),Empty Inside (All That Remains),0.9578284343304645
Jackie Big Tits (The Kooks),Party All Day (Steel Panther),0.9578075803607271
All My Fault (Fenix TX),The Kids Arent Alright (The Offspring),0.9577417866103053
Shadow Walker (Bleeding Through),Parasites of Catastrophe (Dying Fetus),0.9577127511607146
Prisoners of Today (Billy Talent),Ralph Wiggum (Bloodhound Gang),0.9576954731465535
Broken-Hearted Girl (Beyoncé),From Afar (Vance Joy),0.957638082515064
National Express (The Divine Comedy),I Remember You (Skid Row),0.9575710384524524
Stay Too Long (Plan B),Midnight Queen (Nickelback),0.9573680631413443
Predictable (Good Charlotte),WTFWJD (I Set My Friends on Fire),0.9572508020414435
Heartache Every Moment (Him),Big Freeze (Muse),0.9572072209778429
More Than Ever (Evergrey),Rising Son (Sturm und Drang),0.9571763059962606
You Aint Seen Nothin Yet (Avril Lavigne),Party All Day (Steel Panther),0.957124661769885
Undermined (Clan of Xymox),New Year (Beach House),0.9570152531885441
Acrobat (Maxïmo Park),Tempus Vincit Omnia (Hopes Die Last),0.9569779167653484
Whos Gonna Find Me (The Coral),Before Too Long (Paul Kelly),0.9569182088761577
Thanks For Nothing (Dope),Out of Control (Rancid),0.9569059694419567
Detect Your Liberty (Caliban),Disengage (Suicide Silence),0.9568950916941328
Bird-Priest (Ratatat),Step by Step (New Kids on the Block),0.9567806137221289
New York City Boy (Pet Shop Boys),Crying at the Discoteque (Alcazar),0.9567572466948753
Gimme Stitches (Foo Fighters),Youre Crashing But Youre No Wave (Fall Out Boy),0.9567120374979325
Hot Dog (Limp Bizkit),As the Sun (Samael),0.9566789577952378
Arcarsenal (At the Drive-In),Party Smasher (The Dillinger Escape Plan),0.9565903215318725
Like to Thank My Buddies (Combichrist),Soul Train (Scooter),0.9565411240875185
Even Angels Fall (The Crüxshadows),Rave On (Cults),0.956463149096791
Die Rose im Wasser (Subway to Sally),Whatever You Became (Cold),0.9564248944241363
Private Eye (Alkaline Trio),She Is Beautiful (Andrew W.K.),0.9563670833504938
Anne Arbour (The Get Up Kids),The Darkest Places (MxPx),0.9563652220562684
Fool (Shakira),Shake Those Windows (Athlete),0.9562114779802744
I Shouldve Been After You (Rooney),Poppin Champagne (All Time Low),0.956098155886644
Talkin (Van She),Stars Come Out (Calvin Harris),0.9560637324583586
Flavor Of The Weak (American Hi-Fi),A Bigger Mood (American Hi-Fi),0.9560443689177169
Get Up Again (Flaw),Out of Reach (Funeral for a Friend),0.9560199472620637
Can You Heal Me (Soil),The Price (Twisted Sister),0.9560092535660792
Christine Sixteen (Kiss),Dont Give Me Your Life (Alex Party),0.9559347348255176
I Shouldve Been After You (Rooney),Kickstarts (Example),0.9558470434603669
The Gael (Cruachan),Loose Heart (Riverside),0.9558121273028515
Convalescent (dredg),Not Your Fault (Awolnation),0.9557184795770374
Wolves At The Door (Senses Fail),That Fire (Black Tide),0.9556969659488354
She Took Him to the Lake (Alkaline Trio),Sail On (Masterplan),0.9556241516828486
Streets (Avenged Sevenfold),Armageddon (Alkaline Trio),0.9556031850350997
How Do You Feel? (311),Love It When You Call (The Feeling),0.9555702327919389
Hey Luno (The Aquabats),Steamer Trunk (Alkaline Trio),0.9555687632193164
The Red (Chevelle),Beste Zeit deines Lebens (Revolverheld),0.9555451081748451
Capital H (Motion City Soundtrack),Place Your Hands (Reef),0.9555268587525991
Sleeping Dogs Lie (Xandria),The Never-Ending Why (Placebo),0.9554928337482177
Armageddon (Alkaline Trio),Totalimmortal (AFI),0.9553790647356932
Stormy Weather (The Kooks),Reconcile (Curly Heads),0.9553662911161546
Online Songs (blink-182),Tapporauta (Korpiklaani),0.9552449430532004
Down Poison (3 Doors Down),Bonnie & Clyde (Die Toten Hosen),0.9552275235739791
We Damn The Night (Helloween),Narcosynthesis (Nevermore),0.9551638212628503
Medium Unwell (Mad Caddies),Gleaming Auction (Snow Patrol),0.9550762377309462
The Lonely One (Alice Deejay),Drunk Girls (LCD Soundsystem),0.9550478962535843
The Worlds In Me (Heaven Shall Burn),Implore The Darken Sky (Heaven Shall Burn),0.954947996552202
Red Is The New Black (Funeral for a Friend),Neither of Us Can See (Incubus),0.9548354535213194
Matinee (Franz Ferdinand),This Dream Is Over (Mando Diao),0.9547803607679574
Headtrip (Sevendust),Cast Me Aside (Drowning Pool),0.9547265527842103
My Goodbyes (Saliva),Decisions Decisions (The Starting Line),0.9546988813909041
The Laws Have Changed (The New Pornographers),Party All Day (Steel Panther),0.954652496440934
All That Im Living For (Evanescence),World So Cold (Three Days Grace),0.9546461844279538
Vote or Die (Modeselektor),Book IX (Caspian),0.9546213946399623
Too Late Too Late (Metallica),Freedom Fighters (The Music),0.9545870130406457
Sagrada Trobar (In Extremo),Bushido (HammerFall),0.9545476226580144
Victim (Avenged Sevenfold),Niebo (Agnieszka Chylińska),0.954486114864378
Mystify (INXS),State of Grace (Taylor Swift),0.9544581899256239
March of the Dead (Story of the Year),Come With Me If You Want To Live (Austrian Death Machine),0.9544255783299634
Dobermann (Dark Tranquillity),Liberated (Borknagar),0.9542815889959703
Back to Me (The All-American Rejects),For the First Time (The Script),0.9541611335655313
Stay Cool (The Roots),Drive Slow (Kanye West),0.9540551786302963
Heaven Beside You (Alice in Chains),Whiteliberalonwhiteliberalaction (mclusky),0.9540505366160398
Makes No Difference (Sum 41),Koi no Dependence (アンティック-珈琲店-),0.954042071119983
Whatever You Became (Cold),For Your Own Good (Turisas),0.9540344327943399
Down Poison (3 Doors Down),Away We Go (Valencia),0.9540327555251258
And I (Box Car Racer),Cant Take This (Orgy),0.9540291958334562
Liberated (Borknagar),Eve Of Seduction (Symphony X),0.9540202446582062
To The End Of The World (Dragonland),Half-Truism (The Offspring),0.9540109348949766
Jazz nad Wisłą (T.Love),Lookin Out My Back Door (Creedence Clearwater Revival),0.9539952578218385
Kick Some Ass (Stroke 9),Hearts of Iron (Sabaton),0.9539436330546838
Please Please Please (Shout Out Louds),Nobodys Daughter (Hole),0.9539240031155095
Seven Days in Sunny June (Jamiroquai),Elementary Lover (Matthew Dear),0.9538778269760657
Whos Gonna Find Me (The Coral),We Werent Born To Follow (Bon Jovi),0.9538324320953082
Im So Tired (Fugazi),Sundrenched World (Joshua Radin),0.9538302082882336
Cringe (Alkaline Trio),The Rocketeer (Foxy Shazam),0.9537945690045226
Shes Not There (The Zombies),Seafarer (Tennis),0.953780204027338
New Model No. 15 (Marilyn Manson),Camilla (Basshunter),0.9536367131397206
WTFWJD (I Set My Friends on Fire),I Like You So Much Better When Youre Naked (Ida Maria),0.953621550076144
One Time Too Many (Phoenix),Drivers Seat (Sniff 'n' the Tears),0.9535391591111843
Spinning (Jack's Mannequin),Party All Day (Steel Panther),0.9535285774003458
Why Im Here (Oleander),Fool (Shakira),0.9534958797080988
Bleed Me an Ocean (Acid Bath),Floods (Pantera),0.953495176703614
Another Me (Eternal Tears of Sorrow),Heavy Hangs The Albatross (Alesana),0.9534469558599097
I Am a Revenant (The Distillers),Sex Tapes (Protest the Hero),0.9534314172288224
Deny Me (Soil),Macht und Dummheit (In Extremo),0.9533143512165497
Strained (Katatonia),The Spirit (Edguy),0.9532662543735253
Motto (Less Than Jake),Come To Life (Alter Bridge),0.9532447771061984
Murray (Pete Yorn),Light Up the Sky (Yellowcard),0.9532408380324097
Youre Dead (Alkaline Trio),Kipumylly (Korpiklaani),0.9532132300680803
Aufstand (Subway to Sally),Grieve Stricken Heart (Amorphis),0.9531727603392285
The World Without (A Fine Frenzy),Leverage (Lyriel),0.9531151976708347
Destroy Everything You Touch (Ladytron),Space & Time (VNV Nation),0.953114637364094
Space Travel (Yellowcard),Feel Good Drag (Anberlin),0.9531022468123502
GPS (Basshunter),My Despair (In Strict Confidence),0.9530547271695176
Down Poison (3 Doors Down),Lonely Boy (The Black Keys),0.9530323700098632
Remedy (Seether),The Giant (Anthrax),0.9530279007329707
Wondering (Good Charlotte),Wet Dog (Mad Caddies),0.9530064026937389
Blurry (Puddle of Mudd),Part II (Paramore),0.9529834860396861
Pantomime (Orgy),Faithfull (Pearl Jam),0.9529586662357306
Hellgate: Worcester (Sonic Syndicate),Alles was ich will (We Butter the Bread With Butter),0.9528884111033722
True Believers (The Bouncing Souls),Nocturnal (The Black Dahlia Murder),0.9528480589873026
Revolt (Borknagar),Guilt (Nero),0.9528317023534103
My Girlfriends Dead (The Vandals),Pretty Little Girl (blink-182),0.9527873291526506
Injection (Rise Against),Remember A Time (Story of the Year),0.9527614518294953
Save the Day (The Living End),Until The End (Breaking Benjamin),0.9527305874134794
Schwarzes Gift (Das Ich),Last One Standing (Simple Plan),0.9527012173337049
Jesus Hands (Jerry Cantrell),A New Beginning (Good Charlotte),0.9526706813692113
Almost Golden (Courtney Love),Grain (Ghost Brigade),0.9526196292729107
The Girl Got Hot (Weezer),Kickstarts (Example),0.9525951295749889
Want You Bad (The Offspring),Bonecrusher (Senses Fail),0.952497665333098
Live-In Skin (Foo Fighters),Permanence (Static-X),0.9524884392963029
Separate Ways (Worlds Apart) (Journey),I Only Want to Be With You (Me First and the Gimme Gimmes),0.952468500570948
April Fools and Eggmen (Fair to Midland),Escape To The Stars (Cinema Bizarre),0.9524299840130431
Moi... Lolita (Alizée),Wonders Never Cease (Morcheeba),0.952421470527555
Once Bitten Twice Shy (Great White),Best Days (Matt White),0.9524140022237816
Run Away (Live),Whos David (Busted),0.9524043337833346
Going Blind (Melvins),All Secrets Known (Alice in Chains),0.9522120416721254
Meaning (Gavin DeGraw),To Have Or To Be (Museum),0.9521622680309876
BB Good (Jonas Brothers),Keep You (Wild Belle),0.952081985482346
Undead Son (Tarot),Graduate (Third Eye Blind),0.9520074698460723
Gunman (Them Crooked Vultures),My Maudlin Career (Camera Obscura),0.9520074465329977
Everybodys Next One (Steppenwolf),Black Eyed Boy (Texas),0.9519569877172046
Squall (D'espairsRay),Watercolour (Pendulum),0.9519037661518762
Die Welt steht still (Revolverheld),Last Forever (Fenech-Soler),0.9518905710994292
Hate Every Beautiful Day (Sugarcult),Truth (Seether),0.951844994255109
Hollywood and Vine (Matchbook Romance),This Ones for You (Of Mice & Men),0.9518399299812188
A Future Uncertain (Nevermore),The Sky Is Falling (Thrice),0.9518169917293444
Idle Hands (Stone Sour),Maple gunman (アンティック-珈琲店-),0.9517990696620615
Phone Call (The Faint),Stop to Love (Luther Vandross),0.9517897199921791
How You Remind Me (Nickelback),Meaning (Gavin DeGraw),0.951762842112993
Feeding on the opiate (Lock Up),Closed Casket Requiem (The Black Dahlia Murder),0.9517496381838572
Sidewinder (Avenged Sevenfold),Coming of Age (Foster the People),0.9516589115829591
Holy Shadows (Edguy),Two Receivers (Klaxons),0.9516194765587613
Bath Of Least Resistance (NOFX),The Kids Arent Alright (The Offspring),0.9515655548933867
Darkbound (MyGrain),Sea of Fate (Rhapsody of Fire),0.9515110840639679
The Last Kiss (AFI),Better Off Dead (New Found Glory),0.9515044890946226
Mutations (Salt The Wound),P.O.W. (Bullet for My Valentine),0.9514279087019839
Clients (The Red Chord),Parasites of Catastrophe (Dying Fetus),0.951423290713661
Lycanthrope (+44),Behind These Eyes (Eyes Set to Kill),0.9513942540963098
Somethin Grand (Madeleine Peyroux),Sense (Tom Odell),0.951367817342767
You Dont Belong (Daughtry),Last Forever (Fenech-Soler),0.9513651696185433
The Room of Corners (Harold Budd),Fin (Mélanie Laurent),0.951345086374824
Something I Call Personality (New Found Glory),The Church Of Hot Addiction (Cobra Starship),0.9513374673571471
Autobahn (Anberlin),Youll Always Find Your Way Back Home (Hannah Montana),0.9513242143953636
Exotic-6-Cordinator (Blood Stain Child),Ghost In The Mirror (Memphis May Fire),0.9513200922454411
When Love Comes Close (Masterplan),Colours (Grouplove),0.9513074319072641
Liberty Bell (The Gathering),My Electricity (The Gathering),0.9513018395027752
Living Dead Superstars (Zombie Girl),The Enemy Are The Future (Late of the Pier),0.9512484253938382
Lackluster (Saliva),Sancta Terra (Epica),0.9511634283309546
I Would Do Anything for You (Foster the People),Mystify (INXS),0.9511166618396372
Messengers (Lagwagon),Hazardous Mutation (Municipal Waste),0.9511093248732354
Sometimes It Hurts (Stabbing Westward),So Cold (Breaking Benjamin),0.9511044640347028
Friends Forever (PUFFY),On Earth (Samael),0.9510971247362132
The Darkest Places (MxPx),Violent Mood Swings (Spineshank),0.9510743851192613
BB Good (Jonas Brothers),Naturally (Selena Gomez & the Scene),0.9510506459484566
Chemicals Collide (Boys Like Girls),Storytime (Nightwish),0.9509898740946463
Thus I Have Spoken (Dark Funeral),The Arrival of Satans Empire (Dark Funeral),0.9509803779143491
Schwarzes Gift (Das Ich),This Suffering (Billy Talent),0.9509331810056714
Breakout (Foo Fighters),Sans Cosm (Sparta),0.9508772551602092
Black Stone Heart (Bauhaus),Hes There (One Night Only),0.950873309615718
Spirit Never Die (Masterplan),In The End (Black Veil Brides),0.9508496051912251
Nailed to the Wheel (Edguy),Descending (Lamb of God),0.9507591229231409
Last Resort (Papa Roach),Figured You Out (Nickelback),0.9507236247992048
Exkremento (Tanzwut),GPS (Basshunter),0.9506873621947087
Social Suicide (Bad Religion),Kraft (Bosse),0.9506660583144035
Forget My Name (New Found Glory),Shame on You (Hot Hot Heat),0.9506257431947415
Inside Us All (Creed),Breath of Life (Florence + the Machine),0.9506171415060666
Synthetic (Spineshank),Killing Ground (Sabaton),0.9505609678882908
Hey Girl (Dashboard Confessional),Over My Head (Cable Car) (The Fray),0.9505224868356137
Where Were You (When The World Stopped Turning) (Alan Jackson),Such A Lonely Soul (Anna Ternheim),0.950493923156021
Dont Say Goodbye (Goldfinger),Buried Alive By Love (Him),0.9504742165540494
Gender (Orgy),Remedy (Seether),0.950359885119132
Why Im Here (Oleander),Shake Those Windows (Athlete),0.9503465759044825
Mens Needs (The Cribs),Ive Tried Everything (The Cribs),0.9502978174991492
The Forbidden Zone (Misfits),Surround (American Hi-Fi),0.9502799416211849
Air Hostess (Busted),Fighting (Yellowcard),0.9502663487945805
Liebesspiel (Lacrimosa),Burning Photographs (Ryan Adams),0.9502620093683573
Consumo Gusto (Ska-P),The Suffering (Coheed and Cambria),0.9502438340892575
Ein kleiner Schritt (Sportfreunde Stiller),Killing Ground (Sabaton),0.950215185339516
Smile Lines (Incubus),Love Like Blood (Dead by April),0.9502116972209438
Panhandlin Prince (Ugly Kid Joe),Rumors (Sepultura),0.9501892253563317
Right Now (Korn),Give It All (Rise Against),0.9501311294429718
Passion And The Opera (Nightwish),Nine Lives (Edguy),0.950062883564943
As We Die (Charon),Sermon (Drowning Pool),0.9500297666326627
Healing To Suffer Again (Hatebreed),Are You Happy Now? (Michelle Branch),0.9500256903629988
Gimme Stitches (Foo Fighters),Place Your Hands (Reef),0.9500207689233253
Behold! The Night Mare (The Smashing Pumpkins),Fly Away From Here (Aerosmith),0.9500097757719076
Happy? (Mudvayne),Rip The Heart Out Of Me (Adema),0.9499083948103111
Verloren (Subway to Sally),Relention (Katatonia),0.9498678554918463
Malleus Maleficarum (AFI),Buried Alive By Love (Him),0.9498436510300081
Elevation (U2),Complacent (Assemblage 23),0.9497503271854567
All Play Dead (Nevermore),All I Ever Wanted (Shinedown),0.9496474589238993
Crossfire (Brandon Flowers),Apartment (Young the Giant),0.9496367325008171
Last One Standing (Simple Plan),Ignorance (Paramore),0.949625762495094
Final Ritual (Dark Funeral),Virus Bomb (Anaal Nathrakh),0.9496211304910581
Deeper Into You (TRUSTcompany),Im Not the One (Sum 41),0.9495885236590279
Velvet Snow (Kings of Leon),Icarus (Bastille),0.9495772452988861
Dead Quote Olympics (The Hives),Rock n Roll (Avril Lavigne),0.9495531164479646
Believe in Me (ATB),Sensorium (Epica),0.9495346293334465
The Laws Have Changed (The New Pornographers),You Aint Seen Nothin Yet (Avril Lavigne),0.9495344138712009
My Goodbyes (Saliva),Neither of Us Can See (Incubus),0.9495218517504679
Fly Like An Eagle (Seal),Intruder Alert (Combichrist),0.9494977686249084
Young Folks (Peter Bjorn and John),Talkin (Van She),0.9494904275136965
Deceptacon (Le Tigre),Sick Of It (Evans Blue),0.9494526236847404
Descent (Fear Factory),I Woke Up In A Car (Something Corporate),0.9493569612190221
Lost in the Woods (Taproot),The Blackest Crow (Megadeth),0.9493417269775987
I Wish I Were in Love Again (Joni Mitchell),Its Not (Aimee Mann),0.9493236937291377
Break Some Off (Korn),Dont Ever Leave (Smile Empty Soul),0.9492770707128857
Boom! (System of a Down),Orestes (A Perfect Circle),0.9492726524594316
Vapor (Skillet),Crying Out Loud (The Breakpoint Method),0.9492354526128383
Runaway (Linkin Park),Warum (Juli),0.9492351244776593
Limelight (Rush),Feel What You Want (Kristine W.),0.9491978704035918
Colours (Grouplove),Be Like That (3 Doors Down),0.9491961842622556
I Try (Macy Gray),Fumbling Towards Ecstasy (Sarah McLachlan),0.9490780775023097
Have You Ever (The Offspring),Rainmaker (Iron Maiden),0.9490635910465676
Complicated Questions (Finger Eleven),Saints & Sinners (Bullet for My Valentine),0.9490561706022123
The Forbidden Zone (Misfits),Exotic-6-Cordinator (Blood Stain Child),0.9489964041202187
Closing Time (Semisonic),Fuel For The Fire (Ari Koivunen),0.9489696378327149
Better (Hoobastank),The Devil You Know (Anthrax),0.9489199479352135
When I Get You Alone (Robin Thicke),Zaubererbruder (ASP),0.9489175946165657
If We Were (Belinda),Zombie Dance (Escape the Fate),0.9488835016367719
The Electric Version (The New Pornographers),Do What You Do (Mudvayne),0.9488566672147011
Maneater (Nelly Furtado),Step by Step (New Kids on the Block),0.948831554048317
Broken Home (Papa Roach),I Climb (Thousand Foot Krutch),0.9487757301633335
Do Or Die (Papa Roach),Erdbeermund (In Extremo),0.9487621712574901
Forsaken (Within Temptation),Calling My Name (Dragonland),0.9487119721691574
Floating Vibes (Surfer Blood),Wild Honey (U2),0.9487097012489377
Death Dies Hard (Deathstars),In The End (Black Veil Brides),0.9487020740354715
Secret Weapon (MxPx),Escalation (Kreator),0.948700147248692
Nailed to the Wheel (Edguy),Of Darkness Spawned (The Black Dahlia Murder),0.9486573980212466
Soul Sphere (Borknagar),Twilight Tavern (Ensiferum),0.9486158912036161
Turn It Up (Pixie Lott),Lets Get Married (Jagged Edge),0.9485449403206456
What You Deserve (Ill Niño),JUST MAD PAIN (RENTRER EN SOI),0.9485413209093512
Warum (Juli),Whatever It Takes (Leona Lewis),0.9485250603364932
Place in Between (Jazzanova),Bowling With Margo (David Torn),0.9485115622884152
Convalescent (dredg),Pogo (Shinichi Osawa Remix) (Digitalism),0.9485024390928918
Neither of Us Can See (Incubus),The Killing Lights (AFI),0.9484915320661716
Just Enough to Love You (Bayside),Next Girl (The Black Keys),0.9484893653786446
Protège Moi (Placebo),Apartment (Young the Giant),0.948482628648592
Godspeed (Anberlin),Crying Out Loud (The Breakpoint Method),0.9484701959996634
Spirit dreams inside (L'Arc~en~Ciel),Lock You Up (Charli XCX),0.9484196801182849
Perhaps Vampires Is a Bit Strong But... (Arctic Monkeys),Perry Mason (Ozzy Osbourne),0.9484073368146849
Am I Missing (Dashboard Confessional),Weekend Without Makeup (The Long Blondes),0.9483880618328887
Ben Has A Kid (The Devil Wears Prada),Parade Of The Dead (Black Label Society),0.9483774122714711
The Negative Sex (IAMX),Sugar Rush (AKB48),0.9482921288610763
Perfect Blue (L'Arc~en~Ciel),Change My Mind (One Direction),0.9482720422943293
Kalter Glanz (Letzte Instanz),Disco Love (The Saturdays),0.9482517845948053
Ashes (Five Finger Death Punch),Skynet (The Acacia Strain),0.9482453799976889
Shake Those Windows (Athlete),24 (Jem),0.9482051128882418
Into the Night (Eyes Set to Kill),Clankiller (Wolfchant),0.9481849732101744
All My Fault (Fenix TX),Bath Of Least Resistance (NOFX),0.9481709613869886
Walking In Circles (Dead By Sunrise),Hey Brother (Avicii),0.948149182455732
White Rabbit (Collide),Make Me Believe (Godsmack),0.9481000230054883
Open Your Eyes and Look North (Dance Gavin Dance),We All Turn Back To Dust (From First to Last),0.9480890363131248
Another Morning Stoner (...And You Will Know Us by the Trail of Dead),Composing (Boys Night Out),0.9480856418335808
Kill (Jimmy Eat World),Love Like Blood (Dead by April),0.9480091855485625
Kraft (Bosse),Things That Rhyme With Orange (I Set My Friends on Fire),0.9479994040088026
Broadway (Goo Goo Dolls),Whos Gonna Find Me (The Coral),0.9479966247988695
Unified (G. Love & Special Sauce),Time and Time Again (Papa Roach),0.9479403168372141
Mutants Of War (Municipal Waste),Of Fire Wind & Wisdom (Eluveitie),0.9479357939842136
This Suffering (Billy Talent),Last One Standing (Simple Plan),0.9479175128590314
Until We Rise Again (Edguy),The Tune (Helloween),0.9479012989665078
Whos David (Busted),GIRL (Boom Boom Satellites),0.9478970297133383
The Sky Is Falling (Thrice),Watercolour (Pendulum),0.9478855861297717
All That Im Living For (Evanescence),Dont Wake Me (Skillet),0.9478851922734478
Dumpweed (blink-182),Totalimmortal (AFI),0.9478438658630468
In This Hole (Cat Power),Slow It Down (The Lumineers),0.9478222806865526
Bath Of Least Resistance (NOFX),spiral (L'Arc~en~Ciel),0.9477984916292184
Burndt Jamb (Weezer),Bloody Mary (Lady Gaga),0.9477798039287288
Weathered (Creed),Thor (Therion),0.9477769015340212
The Pirates Gospel (Alela Diane),I Still Love You (Rob Lutes),0.9477082048567925
Bittersweet (Fuel),Im Not the One (Sum 41),0.9476823904182423
Composing (Boys Night Out),Forever And Ever (Norther),0.9476815531021651
As I Sat Sadly by Her Side (Nick Cave & The Bad Seeds),Dont Cry Baby (Madeleine Peyroux),0.947617748713016
If You Dont Like It (Cinderella),Sermon (Drowning Pool),0.9476073958074852
Heaven Beside You (Alice in Chains),Bleeding (Bathory),0.9475711746858513
Fight for Your Right (Beastie Boys),Dschinghis Khan (Dschinghis Khan),0.94746868020065
Hover (TRUSTcompany),Lost in the Woods (Taproot),0.9473541780565262
On Your Time (Dark Tranquillity),I See You (The Horrors),0.9473334962506164
Decisions Decisions (The Starting Line),The Killing Lights (AFI),0.9472980807793037
