index,name,artist,spotify_preview_url,tags,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,speed,song
49523,Coração Bobo,Alceu Valença,https://p.scdn.co/mp3-preview/bdffabbf4225df7ded77f752b1435200cf474490?cid=774b29d4f13844c495f206cafdad9c86,,1998,0.61,0.765,0.76352,Major,0.0549,0.473,0.0,0.142,0.653,0.4877564286136377,Coração Bobo (Alceu Valença)
37764,Devil By His Side,Jerry Cantrell,https://p.scdn.co/mp3-preview/f28382039a24762230e3eb49f81d8cca322d1ef4?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'grunge']",1998,0.441,0.811,0.7541907692307692,Major,0.0371,0.0293,0.15,0.155,0.355,0.5386125922188434,Devil By His Side (Jerry Cantrell)
27012,Scarlet Rose,Edguy,https://p.scdn.co/mp3-preview/0b603ddf89f03904e89bdc0b0eaf69b070ed9747?cid=774b29d4f13844c495f206cafdad9c86,"['german', 'power metal']",1998,0.439,0.454,0.73152,Minor,0.0308,0.0644,8.57e-05,0.301,0.185,0.5972780952121204,Scarlet Rose (Edguy)
8136,Spookshow Baby,Rob Zombie,https://p.scdn.co/mp3-preview/e32141d81f7332d0e23c4b0b17049877c3031428?cid=774b29d4f13844c495f206cafdad9c86,"['metal', 'hard rock', 'heavy metal', 'industrial', 'gothic metal']",1998,0.556,0.995,0.8296615384615385,Major,0.0703,0.0117,0.0221,0.0807,0.14,0.5683180828480906,Spookshow Baby (Rob Zombie)
15495,Paradigm Shift,Liquid Tension Experiment,https://p.scdn.co/mp3-preview/f3a52a3f90201aff502042aacd9f6984a7564209?cid=774b29d4f13844c495f206cafdad9c86,"['instrumental', 'progressive rock', 'progressive metal']",1998,0.295,0.914,0.8297353846153845,Major,0.0526,0.000326,0.881,0.399,0.654,0.6247471510457151,Paradigm Shift (Liquid Tension Experiment)
12008,I Dont Wanna Grow Up,Tom Waits,https://p.scdn.co/mp3-preview/1ae1846ec1ab9d24e0d27a7f388dffdb929568a9?cid=774b29d4f13844c495f206cafdad9c86,"['alternative', 'experimental', 'folk', 'singer songwriter', 'blues', '90s']",1998,0.527,0.611,0.6081476923076923,Major,0.0248,0.406,0.00393,0.086,0.904,0.39236248426086284,I Dont Wanna Grow Up (Tom Waits)
38861,Arch Carrier,Autechre,https://p.scdn.co/mp3-preview/f73797af7322314b3258c678fbea4fb0e709aafe?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'idm']",1998,0.749,0.978,0.6273476923076923,Major,0.0364,0.0107,0.881,0.143,0.716,0.46366929856859085,Arch Carrier (Autechre)
46761,Noisy Pink Bubbles,Devin Townsend,https://p.scdn.co/mp3-preview/2cb080704f44115bc7b66b4d08f3bd6c6c3e0a24?cid=774b29d4f13844c495f206cafdad9c86,['progressive metal'],1998,0.295,0.883,0.6934646153846153,Minor,0.042,0.000326,0.147,0.184,0.429,0.5112935411581278,Noisy Pink Bubbles (Devin Townsend)
39689,Be Natural,Manic Street Preachers,https://p.scdn.co/mp3-preview/7ae0a5f2ff1198d53ad06a414731ee52687952a3?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'britpop']",1998,0.373,0.781,0.7495138461538461,Minor,0.034,0.000287,0.000638,0.0943,0.191,0.5845640543108189,Be Natural (Manic Street Preachers)
34345,How Many Miles,Edguy,https://p.scdn.co/mp3-preview/bc4817e829c055b79fd9920360babdad248df5a9?cid=774b29d4f13844c495f206cafdad9c86,['power metal'],1998,0.386,0.968,0.7857969230769232,Minor,0.067,0.000572,8.79e-05,0.164,0.3,0.4824971703645116,How Many Miles (Edguy)
5412,Feelings,The Offspring,https://p.scdn.co/mp3-preview/d9b94668306c42acde076732170e6f005a080c34?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'alternative', 'punk', 'punk rock', '90s', 'cover']",1998,0.352,0.917,0.7968492307692308,Major,0.0559,0.00314,0.000139,0.202,0.393,0.42517261912879045,Feelings (The Offspring)
49550,Ubriaco Canta Amore,Bandabardò,https://p.scdn.co/mp3-preview/22ab080ed0544805c61364e40c42be202ff82097?cid=774b29d4f13844c495f206cafdad9c86,['folk'],1998,0.792,0.896,0.7202707692307692,Major,0.0419,0.719,0.0102,0.107,0.791,0.46837399371798194,Ubriaco Canta Amore (Bandabardò)
46193,Econoline,Mad Caddies,https://p.scdn.co/mp3-preview/52aa3d04baf4ab92e1b47bab9b821d240875505e?cid=774b29d4f13844c495f206cafdad9c86,"['punk rock', 'ska']",1998,0.373,0.954,0.7985476923076924,Minor,0.0936,0.00995,0.00216,0.0994,0.665,0.5951143900033182,Econoline (Mad Caddies)
22594,Torn Apart,Stabbing Westward,https://p.scdn.co/mp3-preview/4cc2a18619ffc9c033dde7ea0b4c1fb0a4f2a28a?cid=774b29d4f13844c495f206cafdad9c86,"['metal', 'punk', 'industrial', 'techno', 'grunge', 'gothic']",1998,0.507,0.935,0.7682461538461539,Major,0.056,3.77e-05,0.911,0.0719,0.42,0.5726091284722696,Torn Apart (Stabbing Westward)
24882,Falling In Love Again,Eagle-Eye Cherry,https://p.scdn.co/mp3-preview/10ade21f4af7e523daaa083528dffb8163c5eb5a?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'pop', 'alternative rock', 'acoustic', 'pop rock']",1998,0.642,0.778,0.7121969230769231,Major,0.0307,0.00891,7.58e-06,0.106,0.607,0.4546781033941989,Falling In Love Again (Eagle-Eye Cherry)
33358,Rumor Has It,Clay Walker,https://p.scdn.co/mp3-preview/2f0bc1f919059291ab19b73cf12313c5b8d0036d?cid=774b29d4f13844c495f206cafdad9c86,['country'],1998,0.633,0.691,0.6898215384615385,Major,0.0281,0.0318,0.0,0.149,0.735,0.5593496156695895,Rumor Has It (Clay Walker)
49963,Hail Me,Mithotyn,https://p.scdn.co/mp3-preview/a831a9ff9a57ea10f97876b2d2d5ff462aaf61b0?cid=774b29d4f13844c495f206cafdad9c86,,1998,0.12,0.914,0.8145476923076923,Major,0.044,2.19e-06,0.701,0.0765,0.541,0.4292454759924179,Hail Me (Mithotyn)
39928,Melpomene,Elend,https://p.scdn.co/mp3-preview/f73602faa76bab90f6029c4fbb800cf46879a635?cid=774b29d4f13844c495f206cafdad9c86,['dark ambient'],1998,0.078,0.428,0.6518892307692308,Minor,0.0333,0.615,0.883,0.0691,0.0344,0.371489092834772,Melpomene (Elend)
22578,Gender,Orgy,https://p.scdn.co/mp3-preview/91d6860894574db6baea5a59bac6c264a98f2089?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'industrial', 'nu metal']",1998,0.579,0.953,0.7606153846153846,Major,0.0911,0.000859,3.76e-06,0.229,0.429,0.5678817053269877,Gender (Orgy)
3027,Open the Light,Boards of Canada,https://p.scdn.co/mp3-preview/8f354060842fde35e4208ff5192d5dbf43ae8319?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'ambient', 'chillout', 'downtempo', 'idm']",1998,0.221,0.104,0.28189538461538455,Major,0.0367,0.526,0.939,0.116,0.0364,0.4835426581754874,Open the Light (Boards of Canada)
7263,Swanheart,Nightwish,https://p.scdn.co/mp3-preview/be5ab984c38c62b0d9cab07bbbd5ed928f968d07?cid=774b29d4f13844c495f206cafdad9c86,"['female vocalists', 'metal', 'power metal', 'gothic metal', 'symphonic metal']",1998,0.326,0.407,0.7531323076923077,Major,0.03,0.0825,2.73e-06,0.314,0.0641,0.5937234366548028,Swanheart (Nightwish)
49821,Out Of Ginnungagap,Einherjer,https://p.scdn.co/mp3-preview/a1200798c062fea3e00917e27c361ebc33f51200?cid=774b29d4f13844c495f206cafdad9c86,['black metal'],1998,0.392,0.931,0.7428676923076922,Major,0.0984,0.00414,2.04e-05,0.203,0.512,0.5887641879514348,Out Of Ginnungagap (Einherjer)
19842,When Two Worlds Collide,Iron Maiden,https://p.scdn.co/mp3-preview/020cc6d5c8859241776f469c6220b3cb11867e7d?cid=774b29d4f13844c495f206cafdad9c86,['heavy metal'],1998,0.271,0.914,0.8198646153846154,Minor,0.0722,0.0466,8.41e-05,0.2,0.331,0.6335701590505153,When Two Worlds Collide (Iron Maiden)
23061,Hotel California,Gipsy Kings,https://p.scdn.co/mp3-preview/0022a74b687ec7c2404faebf7265dbacaee6b6ac?cid=774b29d4f13844c495f206cafdad9c86,"['soundtrack', 'guitar', 'cover']",1998,0.454,0.785,0.6858092307692308,Minor,0.0473,0.682,5.67e-05,0.111,0.585,0.46491933834258364,Hotel California (Gipsy Kings)
39134,Shin Triad,Squarepusher,https://p.scdn.co/mp3-preview/5b23ff17b57e26adefb75cbe700d321b71edce1e?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'experimental', 'idm', 'noise', 'drum and bass']",1998,0.419,0.72,0.6285538461538461,Minor,0.306,0.207,0.029,0.405,0.324,0.48539726264017496,Shin Triad (Squarepusher)
49379,Wassiye,Habib Koité,https://p.scdn.co/mp3-preview/debd3c3a57abac4e7f24a1e7a8ad9f97d761562c?cid=774b29d4f13844c495f206cafdad9c86,,1998,0.73,0.669,0.7183999999999999,Minor,0.0565,0.58,0.0036,0.103,0.848,0.5373307332506034,Wassiye (Habib Koité)
39839,Catch a Rude Awakening,Rae & Christian,https://p.scdn.co/mp3-preview/2640cc4da1ec0421f55622fcfbd9f915ed948a48?cid=774b29d4f13844c495f206cafdad9c86,"['chillout', 'hip hop', 'trip hop', 'dark ambient', 'lounge']",1998,0.774,0.828,0.698633846153846,Major,0.101,0.000986,0.71,0.0509,0.858,0.4137086180014819,Catch a Rude Awakening (Rae & Christian)
16872,The Wind,PJ Harvey,https://p.scdn.co/mp3-preview/6d6a41c2afe73108b09839f3b25fcacf0543a100?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'electronic', 'alternative', 'indie', 'female vocalists', 'alternative rock', 'singer songwriter', '90s', 'trip hop', 'chill']",1998,0.674,0.646,0.6455384615384616,Minor,0.0316,0.152,0.747,0.0696,0.627,0.5001795511675372,The Wind (PJ Harvey)
36821,On ne change pas,Céline Dion,https://p.scdn.co/mp3-preview/d9bfc1ca622ec97288226d5fd96b8c6052aedf34?cid=774b29d4f13844c495f206cafdad9c86,"['pop', 'female vocalists', 'french']",1998,0.677,0.481,0.6522092307692309,Major,0.0337,0.46,0.00354,0.0867,0.498,0.4318364675239667,On ne change pas (Céline Dion)
35043,Enjoy Your Day,Alkaline Trio,https://p.scdn.co/mp3-preview/c119921378cd16870da91f5058622a9d429b62fa?cid=774b29d4f13844c495f206cafdad9c86,"['punk', 'emo']",1998,0.521,0.291,0.6575507692307693,Major,0.0328,0.821,0.0,0.113,0.168,0.43860486470024046,Enjoy Your Day (Alkaline Trio)
31639,Cobra Bora,808 State,https://p.scdn.co/mp3-preview/8573f88e87886712b0bfba0297aa75cf4fbea3de?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'dance', 'house', 'techno']",1998,0.596,0.899,0.7436061538461538,Major,0.0361,0.000499,0.902,0.0787,0.538,0.5464901155945872,Cobra Bora (808 State)
4995,The Dreaming Tree,Dave Matthews Band,https://p.scdn.co/mp3-preview/01ad6e7ebfa3f25089d20146dfc2ebb6bfe18e89?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'progressive rock', 'blues']",1998,0.494,0.571,0.6898215384615385,Minor,0.0344,0.332,0.00062,0.447,0.417,0.709599850904347,The Dreaming Tree (Dave Matthews Band)
7184,Vision of Love,Mariah Carey,https://p.scdn.co/mp3-preview/56b04e8d581ac11089e4759784c8e5f358374ea9?cid=774b29d4f13844c495f206cafdad9c86,"['pop', 'female vocalists', 'soul', '90s', 'rnb', 'love']",1998,0.26,0.591,0.7602215384615385,Major,0.0358,0.404,3.1e-06,0.112,0.355,0.9335024296227608,Vision of Love (Mariah Carey)
44104,Gramy Dalej,Republika,https://p.scdn.co/mp3-preview/0cb41a1263f0b28edac2f87e28efe8a53b72ee9d?cid=774b29d4f13844c495f206cafdad9c86,['polish'],1998,0.559,0.723,0.7593353846153846,Major,0.0926,0.0398,0.0,0.131,0.859,0.7733836985722273,Gramy Dalej (Republika)
5431,Walla Walla,The Offspring,https://p.scdn.co/mp3-preview/0ca24e4e6ab72637ee376420544ab55edab35c48?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'alternative', 'alternative rock', 'punk', 'punk rock', '90s']",1998,0.503,0.941,0.8128492307692308,Major,0.113,0.0233,1.15e-06,0.186,0.868,0.7880523471201357,Walla Walla (The Offspring)
14548,Thieves In The Night,Black Star,https://p.scdn.co/mp3-preview/a37cb4c8258d49f3d28e759acc27f48fa87a9932?cid=774b29d4f13844c495f206cafdad9c86,"['rap', 'hip hop', 'chill']",1998,0.78,0.599,0.7550030769230769,Major,0.286,0.18,0.0,0.0549,0.585,0.4193815257758201,Thieves In The Night (Black Star)
45766,Processional,William Ackerman,https://p.scdn.co/mp3-preview/2dee8cff8330ac9f9d74da34b3510e65230fedcf?cid=774b29d4f13844c495f206cafdad9c86,"['ambient', 'instrumental', 'acoustic', 'guitar', 'new age']",1998,0.382,0.174,0.3896123076923077,Minor,0.0362,0.899,0.859,0.123,0.17,0.44005491083807213,Processional (William Ackerman)
37913,Rah! Rah! Replica,Bikini Kill,https://p.scdn.co/mp3-preview/a4b7d0a5684702db4deccdd38d61f55c13e4b082?cid=774b29d4f13844c495f206cafdad9c86,"['punk', 'grunge']",1998,0.165,0.961,0.8356430769230769,Major,0.125,0.0168,0.015,0.0794,0.323,0.8305718818326038,Rah! Rah! Replica (Bikini Kill)
47225,P.S. You Rock My World,Eels,https://p.scdn.co/mp3-preview/5e994ca6a7b939bbf596a17aa80b7da99c544d0f?cid=774b29d4f13844c495f206cafdad9c86,"['alternative', 'indie']",1998,0.379,0.42,0.5198276923076923,Major,0.0295,0.305,0.767,0.109,0.528,0.3652479851631643,P.S. You Rock My World (Eels)
46150,Save the Day,The Living End,https://p.scdn.co/mp3-preview/8eb6ec359a91c4e3bd512b2767e251596c6a091b?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'punk', 'punk rock', 'ska']",1998,0.529,0.937,0.7914584615384616,Major,0.0658,0.00104,0.000179,0.21,0.429,0.47571513639070334,Save the Day (The Living End)
41906,Too Many Happy Faces,K's Choice,https://p.scdn.co/mp3-preview/e748c45ac657cac24a2e59a8548faf7066a8a94c?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'alternative', 'indie', 'female vocalists']",1998,0.477,0.754,0.7203446153846154,Major,0.0511,0.00233,0.00163,0.0823,0.172,0.5875050569790857,Too Many Happy Faces (K's Choice)
33752,Metal Firecracker,Lucinda Williams,https://p.scdn.co/mp3-preview/f321636022404ec9d83f7f1048a1058bea5a63fe?cid=774b29d4f13844c495f206cafdad9c86,"['female vocalists', 'singer songwriter', 'country']",1998,0.564,0.659,0.7327507692307692,Major,0.0397,0.00542,1.12e-06,0.0879,0.651,0.5615178664775697,Metal Firecracker (Lucinda Williams)
5714,All Around the World,Oasis,https://p.scdn.co/mp3-preview/49a171df379e3ad3d4d89c4303e85c4bf76386e4?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'indie', 'alternative rock', 'indie rock', 'british', '90s', 'britpop']",1998,0.366,0.853,0.8207753846153847,Major,0.0415,0.00541,0.0015,0.259,0.384,0.37290277417917844,All Around the World (Oasis)
3522,Temptation Waits,Garbage,https://p.scdn.co/mp3-preview/5a5924919d4655532a26230f9dca6e1bccaf9e15?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'electronic', 'alternative', 'female vocalists', 'alternative rock', 'soundtrack', '90s']",1998,0.563,0.879,0.7323323076923076,Major,0.0434,0.000407,0.000937,0.69,0.477,0.5810730341419954,Temptation Waits (Garbage)
40696,We Shall Overcome,Bruce Springsteen,https://p.scdn.co/mp3-preview/2282934e89e157f896cc5ef8792c2530e31470e6?cid=774b29d4f13844c495f206cafdad9c86,"['folk', 'cover']",1998,0.175,0.368,0.6053415384615384,Major,0.0305,0.56,2.52e-05,0.28,0.338,0.47061042851363455,We Shall Overcome (Bruce Springsteen)
9167,Nova,Amon Tobin,https://p.scdn.co/mp3-preview/879f1af6f7458eabe04a476e9427deaf4b0b474f?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'jazz', 'ambient', 'experimental', 'chillout', 'trip hop', 'downtempo', 'idm', 'lounge', 'chill', 'drum and bass']",1998,0.616,0.359,0.5522707692307692,Major,0.0345,0.0463,0.921,0.105,0.411,0.3683889941952699,Nova (Amon Tobin)
22984,Bang On!,Propellerheads,https://p.scdn.co/mp3-preview/8271e78d362c3d62cc3e30fab7a38b0c9bc22941?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'soundtrack', 'techno']",1998,0.506,0.969,0.7981292307692307,Major,0.0785,0.000656,0.6,0.61,0.189,0.667698517680108,Bang On! (Propellerheads)
17933,Shroud of False,Anathema,https://p.scdn.co/mp3-preview/90e1e116096d2bf299d9e0bc8e90fe4638643beb?cid=774b29d4f13844c495f206cafdad9c86,"['progressive rock', 'progressive metal', 'doom metal']",1998,0.6,0.257,0.5982523076923077,Minor,0.0448,0.31,0.347,0.118,0.172,0.5597178092030201,Shroud of False (Anathema)
19051,Hydra,Arch Enemy,https://p.scdn.co/mp3-preview/69ff31823c565997eeb74e2995e00144ea02414b?cid=774b29d4f13844c495f206cafdad9c86,"['metal', 'instrumental', 'death metal', 'thrash metal', 'melodic death metal', 'gothic', 'swedish']",1998,0.282,0.285,0.5665723076923077,Minor,0.0562,0.994,0.906,0.136,0.484,0.4086402749178383,Hydra (Arch Enemy)
31643,Forcasa 2,Bola,https://p.scdn.co/mp3-preview/faa8f14648c1b197937012c8120d54084b48bc25?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'ambient', 'techno', 'idm']",1998,0.609,0.478,0.5634707692307692,Minor,0.0334,0.0103,0.813,0.176,0.0369,0.47723336651620735,Forcasa 2 (Bola)
49956,King of the Distant Forest,Mithotyn,https://p.scdn.co/mp3-preview/4154de3a0fdc6a0b74ce4725cbe3e2241d18ad6f?cid=774b29d4f13844c495f206cafdad9c86,,1998,0.096,0.969,0.8260923076923078,Minor,0.0673,2.77e-06,0.738,0.171,0.284,0.8247489692853863,King of the Distant Forest (Mithotyn)
26385,New Birds,Arab Strap,https://p.scdn.co/mp3-preview/e8751127ea28f7263526a061ffa155ce93f1ac79?cid=774b29d4f13844c495f206cafdad9c86,"['indie', 'alternative rock', 'post rock', 'psychedelic rock', 'guitar']",1998,0.423,0.257,0.5228553846153846,Major,0.0369,0.0487,0.866,0.0871,0.0977,0.644425049887951,New Birds (Arab Strap)
15517,Epilogue,Opeth,https://p.scdn.co/mp3-preview/74f5b2d4e371cbbf88ceb6582473393402ab72d5?cid=774b29d4f13844c495f206cafdad9c86,"['instrumental', 'progressive rock', 'death metal', 'progressive metal', 'guitar']",1998,0.349,0.661,0.7248,Minor,0.0327,0.0166,0.807,0.125,0.23,0.5097707654334456,Epilogue (Opeth)
40195,Contre Le Sexisme,Sonic Youth,https://p.scdn.co/mp3-preview/2c53de9bc155cb9e83bd493c44b7a3c775ec0270?cid=774b29d4f13844c495f206cafdad9c86,"['experimental', 'noise']",1998,0.317,0.61,0.4868676923076923,Major,0.47,0.93,0.451,0.506,0.0718,0.608773915533676,Contre Le Sexisme (Sonic Youth)
34481,The Relic,Symphony X,https://p.scdn.co/mp3-preview/97c0d70a4ce7badeb1659d658156499a0138abd1?cid=774b29d4f13844c495f206cafdad9c86,"['progressive metal', 'power metal']",1998,0.423,0.919,0.6789907692307692,Major,0.0771,0.00418,1.23e-05,0.0699,0.206,0.7266640302191433,The Relic (Symphony X)
4053,MFC,Pearl Jam,https://p.scdn.co/mp3-preview/7ddd6bd1fe0db71c6265d68049c3a4783d158623?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'hard rock', '90s', 'grunge']",1998,0.363,0.921,0.7439753846153846,Major,0.0804,0.00237,0.00026,0.118,0.246,0.6855036296609438,MFC (Pearl Jam)
